seed,difficulty,peak_config,peak_family,peak_distance_weight,peak_intensity_weight,peak_sigma_weight,runtime_s,hota,deta,assa,tp,fp,fn
1,"S3 (N=15, I=600+/-150)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,1.2971264000516385,0.4528229702003345,0.8373205741626795,0.2448866642816005,700,86,50
1,"S3 (N=15, I=600+/-150)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,1.2106331998948008,0.44204017186193817,0.8299643281807372,0.23543121903569408,698,91,52
1,"S3 (N=15, I=600+/-150)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3501802999526262,0.43945844924953636,0.8390532544378698,0.2301686187323021,709,95,41
2,"S3 (N=15, I=600+/-150)",distance_only,ablation,1.0,0.0,0.0,1.7862235999200493,0.43465604583981465,0.8059171597633136,0.23442344649987093,681,95,69
2,"S3 (N=15, I=600+/-150)",intensity_only,ablation,0.0,1.0,0.0,1.0841919998638332,0.4818307160652659,0.831942789034565,0.2790586588452553,698,89,52
2,"S3 (N=15, I=600+/-150)",sigma_only,ablation,0.0,0.0,1.0,1.863138899905607,0.42472824982944596,0.8200238379022646,0.21998639291347613,688,89,62
2,"S3 (N=15, I=600+/-150)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,1.623175899963826,0.44723843984227213,0.8107142857142857,0.24672344572825508,681,90,69
2,"S3 (N=15, I=600+/-150)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,1.620922700036317,0.4686050939596799,0.8263473053892215,0.26573661298687246,690,85,60
2,"S3 (N=15, I=600+/-150)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,1.7863844998646528,0.4685832999637367,0.8281622911694511,0.26512956620477035,694,88,56
2,"S3 (N=15, I=600+/-150)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,1.6726515998598188,0.454860682920555,0.8172043010752689,0.2531781105345617,684,87,66
2,"S3 (N=15, I=600+/-150)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,1.633798399940133,0.4989908759019121,0.8258766626360339,0.30148798906440205,683,77,67
2,"S3 (N=15, I=600+/-150)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,1.1187118000816554,0.49674570953648906,0.8282950423216445,0.2979087008069876,685,77,65
2,"S3 (N=15, I=600+/-150)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,1.3053126002196223,0.458780389200023,0.8200238379022646,0.2566747889341368,688,89,62
2,"S3 (N=15, I=600+/-150)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,1.605278000002727,0.47093855176658356,0.8188319427890346,0.27085303827374957,687,89,63
2,"S3 (N=15, I=600+/-150)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,2.0775802000425756,0.5018568179308549,0.8219013237063778,0.3064361358708064,683,81,67
2,"S3 (N=15, I=600+/-150)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6495151999406517,0.4841475626443137,0.8305084745762712,0.28223536494798673,686,76,64
3,"S3 (N=15, I=600+/-150)",distance_only,ablation,1.0,0.0,0.0,1.3871665999758989,0.5510406133152356,0.9236641221374046,0.32874044822719717,726,36,24
3,"S3 (N=15, I=600+/-150)",intensity_only,ablation,0.0,1.0,0.0,1.3273742999881506,0.5103914138368085,0.9169811320754717,0.2840837027134121,729,45,21
3,"S3 (N=15, I=600+/-150)",sigma_only,ablation,0.0,0.0,1.0,1.442932500038296,0.5379401645684578,0.90375,0.32019875038001605,723,50,27
3,"S3 (N=15, I=600+/-150)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,1.2501024999655783,0.5582323698284427,0.9251269035532995,0.3368439265222662,729,38,21
3,"S3 (N=15, I=600+/-150)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,1.789526600157842,0.5715690539951436,0.9247448979591837,0.35327708669264035,725,34,25
3,"S3 (N=15, I=600+/-150)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,1.8433359998743981,0.6021701761986037,0.929305912596401,0.3901932788633177,723,28,27
3,"S3 (N=15, I=600+/-150)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,1.1441807001829147,0.5739329021464622,0.9386189258312021,0.3509400536267245,734,32,16
3,"S3 (N=15, I=600+/-150)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,1.2754164999350905,0.5838602642901026,0.9300254452926209,0.3665413779185911,731,36,19
3,"S3 (N=15, I=600+/-150)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,1.8156983000226319,0.5441531153896626,0.914572864321608,0.3237605493663013,728,46,22
3,"S3 (N=15, I=600+/-150)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,1.4492458999156952,0.5924729150987901,0.9372599231754162,0.374521673706474,732,31,18
3,"S3 (N=15, I=600+/-150)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,1.6530597999226302,0.5720669094620142,0.9375796178343949,0.34904827566252045,736,35,14
3,"S3 (N=15, I=600+/-150)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,1.7056253999471664,0.5835396137046751,0.9347826086956522,0.36427558407162014,731,32,19
3,"S3 (N=15, I=600+/-150)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5618569999933243,0.5300868367883257,0.9231738035264484,0.30437611364499984,733,44,17
0,"S4 (N=20, I=550+/-200)",distance_only,ablation,1.0,0.0,0.0,2.5812996001914144,0.41561068115533245,0.8077617328519856,0.21384058103437156,895,108,105
0,"S4 (N=20, I=550+/-200)",intensity_only,ablation,0.0,1.0,0.0,2.7476751001086086,0.37690962456377475,0.7626970227670753,0.18626120313595412,871,142,129
0,"S4 (N=20, I=550+/-200)",sigma_only,ablation,0.0,0.0,1.0,2.744821900036186,0.38274190967064586,0.8057296329453895,0.18181206626697527,900,117,100
0,"S4 (N=20, I=550+/-200)",dist_int_90_10,distance_intensity,0.9,0.1,0.0,2.7280301998835057,0.4110970333377008,0.8036036036036036,0.21030364978604835,892,110,108
0,"S4 (N=20, I=550+/-200)",dist_int_75_25,distance_intensity,0.75,0.25,0.0,2.72134320018813,0.4227388922117153,0.8068283917340521,0.22149464845220057,898,113,102
0,"S4 (N=20, I=550+/-200)",dist_int_60_40,distance_intensity,0.6,0.4,0.0,3.312257400015369,0.42556593224357914,0.7835420393559929,0.23113802909056563,876,118,124
0,"S4 (N=20, I=550+/-200)",dist_sig_90_10,distance_sigma,0.9,0.0,0.1,2.49084770004265,0.4376401751221181,0.821917808219178,0.2330268561717838,900,95,100
0,"S4 (N=20, I=550+/-200)",dist_sig_75_25,distance_sigma,0.75,0.0,0.25,2.975832900032401,0.4408143737607765,0.8161024702653248,0.23810406069587148,892,93,108
0,"S4 (N=20, I=550+/-200)",dist_sig_60_40,distance_sigma,0.6,0.0,0.4,1.9869377999566495,0.41352782890649786,0.8066546762589928,0.2119931493773639,897,112,103
0,"S4 (N=20, I=550+/-200)",dist_meta_80_10_10,all_terms,0.8,0.1,0.1,2.606314299860969,0.43991770380827094,0.8129562043795621,0.23805413511991017,891,96,109
0,"S4 (N=20, I=550+/-200)",dist_meta_70_20_10,all_terms,0.7,0.2,0.1,2.8040381998289376,0.44553341875782737,0.8180987202925045,0.24263578747448164,895,94,105
0,"S4 (N=20, I=550+/-200)",dist_meta_50_40_10,all_terms,0.5,0.4,0.1,3.0714041001629084,0.4417664955084674,0.819926873857404,0.23801834380144152,897,94,103
0,"S4 (N=20, I=550+/-200)",equal_all,all_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.7197180001530796,0.4088867679313728,0.8039391226499553,0.20796150389879725,898,117,102
1,"S4 (N=20, I=550+/-200)",distance_only,ablation,1.0,0.0,0.0,1.9197948998771608,0.41145522726289385,0.8306306306306306,0.2038155081199297,922,110,78
1,"S4 (N=20, I=550+/-200)",intensity_only,ablation,0.0,1.0,0.0,2.986068099969998,0.38591904668480476,0.827027027027027,0.18008300300594823,918,110,82
